,item_id,title,season,gender,brand,product,tag,price,likes,date
75,1850298,Roll-up sleeve with dress_4EHD5VCC335A,2020F/W,여,Benetton,4EHD5VCC335A,[],89000,0,2021-03-24
76,1840961,마로니에 원피스 [아이보리]MARRONIER OPS [IVORY],2021S/S,여,ASURA,asura21ss26,"['쉬폰', '플레어', '프릴', '미니드레스', '미니원피스']",149000,0,2021-03-24
77,1840952,마로니에 원피스 [블랙도트]MARRONIER OPS [BLACK DOT],2021S/S,여,ASURA,asura21ss25,"['쉬폰', '원피스', '봄원피스', '미니원피스', '프릴']",149000,0,2021-03-24
78,1827929,여성 네이비 반팔 롱 베스트 (BJ1336A02R),2021S/S,여,BEANPOLE,/,['BJ1336A02R'],319000,0,2021-03-24
79,1827927,여성 라이트 그레이 반팔 롱 베스트 (BJ1336A022),2021S/S,여,BEANPOLE,/,['BJ1336A022'],319000,0,2021-03-24
80,1826368,베이지 플리츠 반소매 니트 원피스 (32135ULY2A),2021S/S,여,8SECONDS,32135ULY2A,['32135ULY2A'],39900,0,2021-03-24
81,1850297,Roll-up sleeve with print dress_4UQR5VCC373B,2020F/W,여,Benetton,4UQR5VCC373B,[],99000,0,2021-03-24
82,1850299,Roll-up sleeve with print dress_4UQR5VCC373A,2020F/W,여,Benetton,4UQR5VCC373A,[],99000,0,2021-03-24
83,1840913,엘르 투피스 [아이보리]ELLE TWO-PIECE [IVORY],2021S/S,여,ASURA,asura21ss14,"['블라우스', '쉬폰', '프릴', '주름', '프릴블라우스', '프릴스커트']",179000,0,2021-03-24
84,1826746,컬러레이션 카라 벨트 미니 원피스 베이직 핑크COLORATION COLLAR BELT MINI ONE-PIECE BASIC PINK,2021S/S,여,WUZU,/,"['데일리룩', '미니원피스', '봄원피스', '캐주얼원피스', '오피스룩', '하객룩', '추천원피스']",179000,0,2021-03-24
85,1826323,블루 아웃 포켓 데님 피나포어 원피스 (161371FP1P),2021S/S,여,8SECONDS,161371FP1P,['161371FP1P'],59900,0,2021-03-24
86,1839559,프린트 미니 드레스 라임Prints Mini-Dress(Lime Print),2021S/S,여,HAGAHI,123,[],319200,0,2021-03-24
87,1833555,샴브레이 데님 벨티드 점프슈트,2021S/S,여,MICHAEL,/,[],330000,0,2021-03-24
